topic_idx,context_idx,question_idx,symbolic_answer,neural_answer,symbolic_is_correct,neural_is_correct
0,0,0,o conteúdo a ser avaliado deve constar no plano de ensino da disciplina.,requisitos,False,True
0,0,1,o conteúdo a ser avaliado deve constar no plano de ensino da disciplina.,plano de ensino da disciplina,True,True
0,0,2,"a nomeação de uma banca examinadora de reconhecida competência na área, composta de três docentes.",três,True,True
0,1,0,aritmética das notas emitidas pelos membros da banca; e considerar aprovado aquele acadêmico que obtiver a nota mínima final,nove,False,True
0,1,1,"nove 9,0. caberá ao coordenador de curso informar ao acadêmico, em até dez 10 dias úteis antes da data prevista para avaliação,",até dez,True,True
0,1,2,a carga horária total da disciplina. o registro no siscad,coordenação do curso do acadêmico,False,True
0,1,3,aritmética das notas emitidas pelos membros da banca; e considerar aprovado aquele acadêmico que obtiver a nota mínima final,banca examinadora,False,True
0,2,0,o acadêmico deverá frequentar regularmente,,False,False
0,2,1,o pedido de avaliação será analisado pelo coordenador de curso do acadêmico.,coordenador de curso do acadêmico,True,True
0,2,2,somente poderá solicitar a dispensa para fins de abreviação de curso,,False,False
0,3,0,"é facultado ao acadêmico solicitar dispensa de cursar disciplinas que integram a matriz curricular de seu curso, com justificativa de extraordinário rendimento acadêmico, mediante avaliação específica",,False,False
0,3,1,"é facultado ao acadêmico solicitar dispensa de cursar disciplinas que integram a matriz curricular de seu curso, com justificativa de extraordinário rendimento acadêmico, mediante avaliação específica",dispensa de cursar disciplinas que integram a matriz curricular de seu curso,True,True
0,3,2,"é facultado ao acadêmico solicitar dispensa de cursar disciplinas que integram a matriz curricular de seu curso, com justificativa de extraordinário rendimento acadêmico, mediante avaliação específica",mediante avaliação específica aplicada por banca examinadora,False,False
1,0,0,outras alterações poderão ser propostas ao projeto pedagógico de curso nos períodos,conselho de ensino de graduação,False,True
2,0,0,turma. se o número,"como é realizada a seleção de alunos para uma disciplina cujo número de inscritos exceda o número de vagas? [SEP] a matrícula em disciplinas obrigatórias pode ser realizada no próprio curso ou em qualquer outro curso da ufms, desde que haja compatibilidade entre o nome da disciplina, ementa e carga horária, mediante a existência de vagas",False,False
2,0,1,a matrícula em disciplinas optativas pode ser realizada,no próprio curso ou em qualquer outro curso da ufms,False,True
2,1,0,a renovação de matrícula é realizada por meio,,False,False
2,2,0,,"não será permitida ao discente, a exclusão ou inclusão de disciplinas, durante a etapa de validação de matrículas pela secretaria acadêmica",False,False
3,0,0,as disciplinas que tem interesse em cursar. no formulário de inscrição constarão somente as disciplinas que o acadêmico está apto,"a renovação de matrícula é composta por três fases consecutivas : inscrição ; confirmação ; e validação. é compulsório aos acadêmicos o cumprimento dos incisos i e ii, para fins de manutenção do vínculo acadêmico. na fase de inscrição, o acadêmico deverá preencher formulário eletrônico, assinalando as disciplinas que tem interesse em cursar. no formulário de inscrição constarão somente as disciplinas que o acadêmico está apto a cursar, distribuídas da seguinte maneira",False,False
3,0,1,tem interesse em cursar. no formulário de inscrição constarão,as disciplinas que o acadêmico está apto a cursar,False,True
3,0,2,as disciplinas que tem interesse em cursar. no formulário de inscrição constarão somente as disciplinas que o acadêmico está apto,formulário eletrônico,False,True
3,0,3,validação. é compulsório aos acadêmicos o cumprimento dos incisos i,i e ii,False,True
3,0,4,"a inscrição eletrônica poderá ser substituída por inscrição manual,",inscrição ; confirmação ; e validação,False,True
3,1,0,"seu semestre de posicionamento, exceto as que tiverem pré-requisitos.","a partir do seu ingresso na ufms, subtraindo - se a quantidade de semestres em que a matrícula esteve trancada",False,True
3,1,1,"seu ingresso na ufms, subtraindo-se a quantidade de semestres em que a matrícula esteve trancada. o semestre de posicionamento deve ser definido pelo coordenador do curso, nas situações que exigirem a elaboração de plano de estudo. a distribuição das vagas disponíveis nas disciplinas obedecerá à",,False,False
3,1,2,"seu semestre de posicionamento, exceto as que tiverem pré-requisitos.",coordenador do curso,False,True
